|        Name | active |           RA |          Dec |  Discovery |       V |  date_Vmax |  Vmax |           Type |         z | asassn | flcogt | fnorth | fswift | psf | stop_all |
|     2020dxa |      1 | 15:58:43.096 | +26:49:09.71 | 2020-03-03 |    16.3 |        --- |  99.9 |             Ia |  0.014233 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2020dvr |      1 | 09:54:35.137 | -19:53:14.27 | 2020-03-03 |    17.0 |        --- |  99.9 |             Ia |  0.012889 |      0 |      1 |      0 |      0 |   1 |        0 |
|     2020cdj |      1 | 17:56:11.731 | +62:45:25.21 | 2020-02-08 |    19.4 |        --- |  99.9 |             Ia |     0.015 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2020akf |      1 | 09:28:39.663 | +38:33:47.10 | 2020-01-20 |    18.9 |        --- |  99.9 |         Ia-91T |  0.012454 |      0 |      1 |      0 |      0 |   1 |        0 |
|      2020yh |      1 | 17:32:38.810 | -31:54:59.60 | 2020-01-15 |    16.3 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|      2020yj |      1 | 07:07:21.360 | +17:05:20.30 | 2020-01-14 |    15.7 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|      2020yv |      1 | 03:25:13.320 | -32:54:01.10 | 2020-01-12 |    16.9 |        --- |  99.9 |            unk |  0.007700 |      0 |      1 |      0 |      0 |   0 |        0 |
|      2020ue |      1 | 12:42:46.780 | +02:39:34.20 | 2020-01-12 |    15.0 |        --- |  99.9 |             Ia |  0.003129 |      0 |      1 |      0 |      0 |   1 |        0 |
|       2020H |      1 | 03:27:45.149 | +40:02:00.60 | 2020-01-01 | 20.0951 |        --- |  99.9 |            unk |  0.013576 |      0 |      0 |      0 |      0 |   0 |        0 |
|      2020ae |      1 | 07:18:45.440 | +19:44:39.40 | 2020-01-01 |    16.5 |        --- |  99.9 |            unk |       n/a |      0 |      0 |      0 |      0 |   0 |        0 |
|      2020ad |      1 | 13:57:56.820 | -29:17:07.70 | 2020-01-01 |    16.9 |        --- |  99.9 |             II |  0.008919 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019yxp |      1 | 14:16:32.130 | +57:48:28.80 | 2019-12-27 |   16.45 |        --- |  99.9 |             Ib |  0.010417 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019yvr |      1 | 12:45:08.132 | -00:27:32.66 | 2019-12-27 |  15.882 |        --- |  99.9 |             Ib |  0.005101 |      0 |      1 |      0 |      0 |   0 |        0 |
|     2019yvq |      1 | 12:27:21.690 | +64:47:59.70 | 2019-12-28 |    16.7 |        --- |  99.9 |             Ia |  0.009080 |      0 |      1 |      0 |      0 |   1 |        0 |
|     2019wup |      1 | 00:24:22.599 | +38:11:50.81 | 2019-12-16 |   18.84 |        --- |  99.9 |             Ia |  0.019707 |      0 |      1 |      0 |      0 |   1 |        0 |
